factkey,datekey,accountkey,companykey,cost_center_id,actual,budget
2022013110150010,20220131,1,GMR0001,101,1845100.77,1639000.0
2022013110150020,20220131,2,GMR0001,101,1806235.11,1639000.0
2022013110150030,20220131,3,GMR0001,101,1520047.57,1639000.0
2022013110150040,20220131,4,GMR0001,101,1572912.43,1639000.0
2022013110150050,20220131,5,GMR0001,101,1580867.17,1639000.0
2022013110150060,20220131,6,GMR0001,101,1687473.44,1639000.0
2022013110150070,20220131,7,GMR0001,101,1649948.24,1639000.0
2022013110150080,20220131,8,GMR0001,101,1706497.67,1639000.0
2022013110150090,20220131,9,GMR0001,101,1569694.91,1639000.0
2022013110150100,20220131,10,GMR0001,101,1563413.68,1639000.0
2022013110160010,20220131,11,GMR0001,101,1170269.32,1147300.0
2022013110160020,20220131,12,GMR0001,101,1108011.76,1147300.0
2022013110160030,20220131,13,GMR0001,101,1166808.46,1147300.0
2022013110160040,20220131,14,GMR0001,101,1134462.31,1147300.0
2022013110160050,20220131,15,GMR0001,101,1094849.98,1147300.0
2022013110160060,20220131,16,GMR0001,101,1153541.6,1147300.0
2022013110170010,20220131,17,GMR0001,101,336837.62,327800.0
2022013110170020,20220131,18,GMR0001,101,341436.29,327800.0
2022013110170030,20220131,19,GMR0001,101,318469.17,327800.0
2022013110170040,20220131,20,GMR0001,101,325871.84,327800.0
2022013110170050,20220131,21,GMR0001,101,328122.5,327800.0
2022013110170060,20220131,22,GMR0001,101,261535.15,327800.0
2022013110170070,20220131,23,GMR0001,101,305735.54,327800.0
2022013110170080,20220131,24,GMR0001,101,318529.64,327800.0
2022013110170090,20220131,25,GMR0001,101,316275.89,327800.0
2022013110170100,20220131,26,GMR0001,101,300793.74,327800.0
2022013110170110,20220131,27,GMR0001,101,322683.98,327800.0
2022013110170120,20220131,28,GMR0001,101,338440.0,327800.0
2022013110170130,20220131,29,GMR0001,101,314692.34,327800.0
2022013110170140,20220131,30,GMR0001,101,296558.51,327800.0
2022013110180010,20220131,31,GMR0001,101,68098.68,81950.0
2022013110180020,20220131,32,GMR0001,101,89021.05,81950.0
2022013110180030,20220131,33,GMR0001,101,76753.6,81950.0
2022013110180040,20220131,34,GMR0001,101,83649.83,81950.0
2022013110190010,20220131,35,GMR0001,101,86696.18,81950.0
2022013110250010,20220131,1,GMR0001,102,1663670.32,1628000.0
2022013110250020,20220131,2,GMR0001,102,1632654.54,1628000.0
2022013110250030,20220131,3,GMR0001,102,1566208.74,1628000.0
2022013110250040,20220131,4,GMR0001,102,1784543.88,1628000.0
2022013110250050,20220131,5,GMR0001,102,1777419.42,1628000.0
2022013110250060,20220131,6,GMR0001,102,1716346.98,1628000.0
2022013110250070,20220131,7,GMR0001,102,1629355.77,1628000.0
2022013110250080,20220131,8,GMR0001,102,1541474.9,1628000.0
2022013110250090,20220131,9,GMR0001,102,1679411.61,1628000.0
2022013110250100,20220131,10,GMR0001,102,1511333.26,1628000.0
2022013110260010,20220131,11,GMR0001,102,1139492.99,1139600.0
2022013110260020,20220131,12,GMR0001,102,1184742.04,1139600.0
2022013110260030,20220131,13,GMR0001,102,1132263.91,1139600.0
2022013110260040,20220131,14,GMR0001,102,1187844.27,1139600.0
2022013110260050,20220131,15,GMR0001,102,1124721.8,1139600.0
2022013110260060,20220131,16,GMR0001,102,1116755.18,1139600.0
2022013110270010,20220131,17,GMR0001,102,324650.46,325600.0
2022013110270020,20220131,18,GMR0001,102,364849.86,325600.0
2022013110270030,20220131,19,GMR0001,102,289291.29,325600.0
2022013110270040,20220131,20,GMR0001,102,352725.31,325600.0
