Closing_Period,Chart_of_Accounts,Actual,Budget
20220131,101-50010,321425.95,316666.67
20220131,101-50020,213224.77,253333.33
20220131,101-50030,180497.82,190000
20220131,101-50040,134612.94,158333.33
20220131,101-50050,131241.6,126666.67
20220131,101-50060,118635.04,95000
20220131,101-50070,132199.9,114000
20220131,101-50080,83919.48,76000
20220131,101-60010,-65332.9,-48000
20220131,101-60020,-37911.5,-36000
20220131,101-60030,-28216.38,-24000
20220131,101-60040,-21546.25,-18000
20220131,101-60050,-20733.71,-15000
20220131,101-70010,-12856.13,-12666.67
20220131,101-70020,-10779.29,-9500
20220131,101-70030,-11920.95,-11400
20220131,101-70040,-14331.67,-13933.33
20220131,101-70050,-19612.16,-19000
20220131,101-70060,-34565.17,-31666.67
20220131,101-70070,-5245.07,-5066.67
20220131,101-70080,-8606.16,-7600
20220131,101-70090,-6029.27,-5700
20220131,101-70100,-4988.86,-4750
20220131,101-80010,-9579.29,-10000
20220131,101-80020,-14596.48,-13333.33
20220131,101-80030,-6394.16,-6666.67
20220131,101-80040,5343.28,5000
20220131,101-80050,3653.9,3333.33
20220131,101-90010,-25356.45,-26666.67
20220131,101-90020,-6077.87,-6666.67
20220131,101-90030,-2872.04,-3333.33
20220131,102-50010,333383.31,316666.67
20220131,102-50020,328625.61,253333.33
20220131,102-50030,171137.78,190000
20220131,102-50040,194566.5,158333.33
20220131,102-50050,103006.76,126666.67
20220131,102-50060,99148.37,95000
20220131,102-50070,150144.04,114000
20220131,102-50080,87968.57,76000
20220131,102-60010,-58309.85,-48000
20220131,102-60020,-47994.45,-36000
20220131,102-60030,-25419.93,-24000
20220131,102-60040,-22845.98,-18000
20220131,102-60050,-14317.51,-15000
20220131,102-70010,-13408.35,-12666.67
20220131,102-70020,-10109.02,-9500
20220131,102-70030,-12115.39,-11400
20220131,102-70040,-13938.83,-13933.33
20220131,102-70050,-19018.39,-19000
20220131,102-70060,-32008.92,-31666.67
20220131,102-70070,-5491.99,-5066.67
20220131,102-70080,-8765.66,-7600
20220131,102-70090,-6035.72,-5700
20220131,102-70100,-4999.21,-4750
20220131,102-80010,-10864.33,-10000
20220131,102-80020,-13547.34,-13333.33
20220131,102-80030,-7152.35,-6666.67
20220131,102-80040,5795.12,5000
20220131,102-80050,3192.76,3333.33
20220131,102-90010,-26467.61,-26666.67
20220131,102-90020,-6391.85,-6666.67
20220131,102-90030,-3248.42,-3333.33
20220131,103-50010,331055.74,316666.67
20220131,103-50020,172063.94,253333.33
20220131,103-50030,198285.55,190000
20220131,103-50040,198371.48,158333.33
20220131,103-50050,145437.28,126666.67
20220131,103-50060,109004.09,95000
20220131,103-50070,130686.34,114000
20220131,103-50080,63495.72,76000
20220131,103-60010,-43208.47,-48000
20220131,103-60020,-37345.84,-36000
20220131,103-60030,-26434.64,-24000
20220131,103-60040,-19417.26,-18000
20220131,103-60050,-18133.45,-15000
20220131,103-70010,-13547.39,-12666.67
20220131,103-70020,-10180.56,-9500
20220131,103-70030,-11493.85,-11400
20220131,103-70040,-13880.64,-13933.33
20220131,103-70050,-19157.97,-19000
20220131,103-70060,-36781.44,-31666.67
20220131,103-70070,-5215.82,-5066.67
20220131,103-70080,-7899.81,-7600
20220131,103-70090,-5424.59,-5700
20220131,103-70100,-5169.92,-4750
20220131,103-80010,-9263.94,-10000
20220131,103-80020,-13690.18,-13333.33
20220131,103-80030,-7375.72,-6666.67
20220131,103-80040,5413.71,5000
20220131,103-80050,3310.87,3333.33
20220131,103-90010,-29378.57,-26666.67
20220131,103-90020,-7142.41,-6666.67
20220131,103-90030,-3518.44,-3333.33
20220131,104-50010,320734.27,316666.67
20220131,104-50020,233653.95,253333.33
20220131,104-50030,195540.07,190000
20220131,104-50040,142273.1,158333.33
20220131,104-50050,145343.45,126666.67
20220131,104-50060,52964.45,95000
20220131,104-50070,94649.8,114000
20220131,104-50080,69689.21,76000
20220131,104-60010,-44568.65,-48000
20220131,104-60020,-38263.79,-36000
20220131,104-60030,-25143.98,-24000
20220131,104-60040,-18814.7,-18000
20220131,104-60050,-14156.56,-15000
20220131,104-70010,-13688.62,-12666.67
20220131,104-70020,-9347.37,-9500
20220131,104-70030,-12511.12,-11400
20220131,104-70040,-15132.45,-13933.33
20220131,104-70050,-17887.5,-19000
20220131,104-70060,-33936.01,-31666.67
20220131,104-70070,-5556.8,-5066.67
20220131,104-70080,-7378.51,-7600
20220131,104-70090,-6472.48,-5700
20220131,104-70100,-5273.96,-4750
20220131,104-80010,-8761.35,-10000
20220131,104-80020,-12830.2,-13333.33
20220131,104-80030,-6998.42,-6666.67
20220131,104-80040,4876.1,5000
20220131,104-80050,2922.69,3333.33
20220131,104-90010,-29135.74,-26666.67
20220131,104-90020,-6609.42,-6666.67
20220131,104-90030,-2664.95,-3333.33
20220131,105-50010,355747.06,316666.67
20220131,105-50020,291714.56,253333.33
20220131,105-50030,192126.2,190000
20220131,105-50040,172504.15,158333.33
20220131,105-50050,141509.07,126666.67
20220131,105-50060,74307.53,95000
20220131,105-50070,100004.59,114000
20220131,105-50080,66687.96,76000
20220131,105-60010,-64645.38,-48000
20220131,105-60020,-43238.28,-36000
20220131,105-60030,-25003.31,-24000
20220131,105-60040,-20139.51,-18000
20220131,105-60050,-16828.3,-15000
20220131,105-70010,-12808.01,-12666.67
20220131,105-70020,-10183.68,-9500
20220131,105-70030,-11457.09,-11400
20220131,105-70040,-16211.83,-13933.33
20220131,105-70050,-18773.56,-19000
20220131,105-70060,-31143.04,-31666.67
20220131,105-70070,-5647.85,-5066.67
20220131,105-70080,-8130.55,-7600
20220131,105-70090,-6119.74,-5700
20220131,105-70100,-5287.58,-4750
20220131,105-80010,-9904.68,-10000
20220131,105-80020,-13014.55,-13333.33
20220131,105-80030,-6667.54,-6666.67
20220131,105-80040,4946.39,5000
20220131,105-80050,3387.79,3333.33
20220131,105-90010,-25179.9,-26666.67
20220131,105-90020,-6785.88,-6666.67
20220131,105-90030,-3326.25,-3333.33
20220131,106-50010,290738.86,316666.67
20220131,106-50020,269435.1,253333.33
20220131,106-50030,177151.81,190000
20220131,106-50040,159362.6,158333.33
20220131,106-50050,168960.35,126666.67
20220131,106-50060,113734.58,95000
20220131,106-50070,126959.57,114000
20220131,106-50080,68134.05,76000
20220131,106-60010,-57377.26,-48000
20220131,106-60020,-47507.54,-36000
20220131,106-60030,-23168.23,-24000
20220131,106-60040,-18056.56,-18000
20220131,106-60050,-19184.64,-15000
20220131,106-70010,-13355.45,-12666.67
20220131,106-70020,-10360.53,-9500
20220131,106-70030,-12042.65,-11400
20220131,106-70040,-14904.03,-13933.33
20220131,106-70050,-18928.35,-19000
20220131,106-70060,-35768.6,-31666.67
20220131,106-70070,-5467.44,-5066.67
20220131,106-70080,-7499.41,-7600
20220131,106-70090,-6268.2,-5700
20220131,106-70100,-5274.83,-4750
20220131,106-80010,-11205.97,-10000
20220131,106-80020,-14178.35,-13333.33
20220131,106-80030,-6381.21,-6666.67
20220131,106-80040,5516.34,5000
20220131,106-80050,3455.6,3333.33
20220131,106-90010,-30694.59,-26666.67
20220131,106-90020,-6449.81,-6666.67
20220131,106-90030,-3246.51,-3333.33
20220131,107-50010,316351.11,316666.67
20220131,107-50020,249587.28,253333.33
20220131,107-50030,249060.99,190000
20220131,107-50040,166112.81,158333.33
20220131,107-50050,132722.48,126666.67
20220131,107-50060,85978.18,95000
20220131,107-50070,115747.36,114000
20220131,107-50080,73090.52,76000
20220131,107-60010,-49579.22,-48000
20220131,107-60020,-44130.12,-36000
20220131,107-60030,-25078.4,-24000
20220131,107-60040,-20307.61,-18000
20220131,107-60050,-18719.6,-15000
20220131,107-70010,-11978.5,-12666.67
20220131,107-70020,-10747,-9500
20220131,107-70030,-12752.13,-11400
20220131,107-70040,-14230.73,-13933.33
20220131,107-70050,-20786.28,-19000
20220131,107-70060,-33104.54,-31666.67
20220131,107-70070,-5161.14,-5066.67
20220131,107-70080,-8375.94,-7600
20220131,107-70090,-6006.64,-5700
20220131,107-70100,-4836.79,-4750
20220131,107-80010,-11145.43,-10000
20220131,107-80020,-10907.54,-13333.33
20220131,107-80030,-6909.26,-6666.67
20220131,107-80040,4858.5,5000
20220131,107-80050,3821.7,3333.33
20220131,107-90010,-29492.4,-26666.67
20220131,107-90020,-6953.26,-6666.67
20220131,107-90030,-3350.29,-3333.33
20220131,108-50010,402949.47,316666.67
20220131,108-50020,261480.14,253333.33
20220131,108-50030,209143.42,190000
20220131,108-50040,104644.32,158333.33
20220131,108-50050,123358.95,126666.67
20220131,108-50060,101062.72,95000
20220131,108-50070,117988.88,114000
20220131,108-50080,88593.95,76000
20220131,108-60010,-53346.56,-48000
20220131,108-60020,-36219.09,-36000
20220131,108-60030,-25253.12,-24000
20220131,108-60040,-20332.53,-18000
20220131,108-60050,-17800.08,-15000
20220131,108-70010,-13167.73,-12666.67
20220131,108-70020,-9904.77,-9500
20220131,108-70030,-12276.46,-11400
20220131,108-70040,-14857.51,-13933.33
20220131,108-70050,-21325.41,-19000
20220131,108-70060,-34362.29,-31666.67
20220131,108-70070,-5038.79,-5066.67
20220131,108-70080,-7857.33,-7600
20220131,108-70090,-6062.43,-5700
20220131,108-70100,-5167.96,-4750
20220131,108-80010,-11466.77,-10000
20220131,108-80020,-14597.81,-13333.33
20220131,108-80030,-5979.32,-6666.67
20220131,108-80040,4821.94,5000
20220131,108-80050,3822.35,3333.33
20220131,108-90010,-27740.93,-26666.67
20220131,108-90020,-6680.73,-6666.67
20220131,108-90030,-3577.71,-3333.33
20220131,109-50010,308786.55,316666.67
20220131,109-50020,253461.65,253333.33
20220131,109-50030,248459.41,190000
20220131,109-50040,163618.65,158333.33
20220131,109-50050,126742.44,126666.67
20220131,109-50060,87399.73,95000
20220131,109-50070,131499,114000
20220131,109-50080,85302.48,76000
20220131,109-60010,-54705.96,-48000
20220131,109-60020,-41722.93,-36000
20220131,109-60030,-25376.67,-24000
20220131,109-60040,-21629.19,-18000
20220131,109-60050,-17599.42,-15000
20220131,109-70010,-13842.12,-12666.67
20220131,109-70020,-10294.53,-9500
20220131,109-70030,-11178.13,-11400
20220131,109-70040,-15149.15,-13933.33
20220131,109-70050,-18595.33,-19000
20220131,109-70060,-35826.44,-31666.67
20220131,109-70070,-5253.9,-5066.67
20220131,109-70080,-8204.43,-7600
20220131,109-70090,-5904.93,-5700
20220131,109-70100,-4793.8,-4750
20220131,109-80010,-11299.06,-10000
20220131,109-80020,-11235.93,-13333.33
20220131,109-80030,-6413.65,-6666.67
20220131,109-80040,4706.3,5000
20220131,109-80050,3308.61,3333.33
20220131,109-90010,-29781.75,-26666.67
20220131,109-90020,-6081.63,-6666.67
20220131,109-90030,-3078.63,-3333.33
20220131,110-50010,279579.29,316666.67
20220131,110-50020,301072.82,253333.33
20220131,110-50030,200998.5,190000
20220131,110-50040,176717.7,158333.33
20220131,110-50050,130589.16,126666.67
20220131,110-50060,84732.9,95000
20220131,110-50070,120440.91,114000
20220131,110-50080,61927.3,76000
20220131,110-60010,-49672.22,-48000
20220131,110-60020,-40497.98,-36000
20220131,110-60030,-31844.37,-24000
20220131,110-60040,-21313.01,-18000
20220131,110-60050,-14143.05,-15000
20220131,110-70010,-12949.06,-12666.67
20220131,110-70020,-10103.14,-9500
20220131,110-70030,-12321.79,-11400
20220131,110-70040,-14991.38,-13933.33
20220131,110-70050,-17414.74,-19000
20220131,110-70060,-36209.76,-31666.67
20220131,110-70070,-5051.32,-5066.67
20220131,110-70080,-8369.14,-7600
20220131,110-70090,-6409.2,-5700
20220131,110-70100,-5059.94,-4750
20220131,110-80010,-11323.38,-10000
20220131,110-80020,-16093.44,-13333.33
20220131,110-80030,-6161.2,-6666.67
20220131,110-80040,4749.19,5000
20220131,110-80050,2873.14,3333.33
20220131,110-90010,-25008.84,-26666.67
20220131,110-90020,-6386.24,-6666.67
20220131,110-90030,-3320.23,-3333.33
20220131,111-50010,341599.66,316666.67
20220131,111-50020,299258.33,253333.33
20220131,111-50030,181681.21,190000
20220131,111-50040,190043.17,158333.33
20220131,111-50050,141771.32,126666.67
20220131,111-50060,98743.39,95000
20220131,111-50070,133578.01,114000
20220131,111-50080,112205.9,76000
20220131,111-60010,-43876.26,-48000
20220131,111-60020,-44945.32,-36000
20220131,111-60030,-27809.51,-24000
20220131,111-60040,-18307.84,-18000
20220131,111-60050,-17697.88,-15000
20220131,111-70010,-13085.9,-12666.67
20220131,111-70020,-10026.23,-9500
20220131,111-70030,-11438.36,-11400
20220131,111-70040,-14715.83,-13933.33
20220131,111-70050,-21114.57,-19000
20220131,111-70060,-33592.98,-31666.67
20220131,111-70070,-5771.88,-5066.67
20220131,111-70080,-7271.72,-7600
20220131,111-70090,-6131.33,-5700
20220131,111-70100,-4960,-4750
20220131,111-80010,-8368.81,-10000
20220131,111-80020,-14931.42,-13333.33
20220131,111-80030,-6832.74,-6666.67
20220131,111-80040,5492.14,5000
20220131,111-80050,3568.4,3333.33
20220131,111-90010,-22945.3,-26666.67
20220131,111-90020,-6296.75,-6666.67
20220131,111-90030,-3412.81,-3333.33
20220131,112-50010,367559.47,316666.67
20220131,112-50020,318417.63,253333.33
20220131,112-50030,238215.99,190000
20220131,112-50040,202945.47,158333.33
20220131,112-50050,123019.78,126666.67
20220131,112-50060,100727.09,95000
20220131,112-50070,127379.1,114000
20220131,112-50080,73204.33,76000
20220131,112-60010,-57240.48,-48000
20220131,112-60020,-36707.49,-36000
20220131,112-60030,-21595.5,-24000
20220131,112-60040,-17077.55,-18000
20220131,112-60050,-15321.69,-15000
20220131,112-70010,-13183.09,-12666.67
20220131,112-70020,-9642.52,-9500
20220131,112-70030,-12588.14,-11400
20220131,112-70040,-14335.89,-13933.33
20220131,112-70050,-21196.73,-19000
20220131,112-70060,-33018.95,-31666.67
20220131,112-70070,-5352.15,-5066.67
20220131,112-70080,-8052.42,-7600
20220131,112-70090,-6243.68,-5700
20220131,112-70100,-5821.24,-4750
20220131,112-80010,-9747.24,-10000
20220131,112-80020,-13979.3,-13333.33
20220131,112-80030,-6942.73,-6666.67
20220131,112-80040,4370.8,5000
20220131,112-80050,3274.58,3333.33
20220131,112-90010,-22127.62,-26666.67
20220131,112-90020,-7428.69,-6666.67
20220131,112-90030,-2941.15,-3333.33
20220131,113-50010,356163.59,316666.67
20220131,113-50020,346772.97,253333.33
20220131,113-50030,202471.86,190000
20220131,113-50040,205584.4,158333.33
20220131,113-50050,142917.2,126666.67
20220131,113-50060,110233.4,95000
20220131,113-50070,105003.5,114000
20220131,113-50080,82053.35,76000
20220131,113-60010,-52730.23,-48000
20220131,113-60020,-35957.53,-36000
20220131,113-60030,-23772.35,-24000
20220131,113-60040,-16498.72,-18000
20220131,113-60050,-16113.69,-15000
20220131,113-70010,-13249.72,-12666.67
20220131,113-70020,-10229.59,-9500
20220131,113-70030,-11869.95,-11400
20220131,113-70040,-15753.41,-13933.33
20220131,113-70050,-18363.7,-19000
20220131,113-70060,-34420,-31666.67
20220131,113-70070,-4756.07,-5066.67
20220131,113-70080,-8099.45,-7600
20220131,113-70090,-6066.75,-5700
20220131,113-70100,-5340.43,-4750
20220131,113-80010,-9354.89,-10000
20220131,113-80020,-13367.4,-13333.33
20220131,113-80030,-7045.96,-6666.67
20220131,113-80040,5131.52,5000
20220131,113-80050,3104.48,3333.33
20220131,113-90010,-31023.61,-26666.67
20220131,113-90020,-6111.16,-6666.67
20220131,113-90030,-3697.46,-3333.33
20220131,114-50010,313767.73,316666.67
20220131,114-50020,270614.42,253333.33
20220131,114-50030,204770.16,190000
20220131,114-50040,156937.8,158333.33
20220131,114-50050,107687.23,126666.67
20220131,114-50060,119158.39,95000
20220131,114-50070,150416.29,114000
20220131,114-50080,68366.18,76000
20220131,114-60010,-53875.08,-48000
20220131,114-60020,-42446.66,-36000
20220131,114-60030,-28241.57,-24000
20220131,114-60040,-20744.71,-18000
20220131,114-60050,-18345.65,-15000
20220131,114-70010,-13506.37,-12666.67
20220131,114-70020,-9383.86,-9500
20220131,114-70030,-12407.48,-11400
20220131,114-70040,-13679.07,-13933.33
20220131,114-70050,-21982.73,-19000
20220131,114-70060,-34955.08,-31666.67
20220131,114-70070,-5648.73,-5066.67
20220131,114-70080,-7659.7,-7600
20220131,114-70090,-5626.26,-5700
20220131,114-70100,-4698.1,-4750
20220131,114-80010,-9800.79,-10000
20220131,114-80020,-12013.08,-13333.33
20220131,114-80030,-7366.67,-6666.67
20220131,114-80040,5159.22,5000
20220131,114-80050,3118.65,3333.33
20220131,114-90010,-25313.3,-26666.67
20220131,114-90020,-6524.85,-6666.67
20220131,114-90030,-3039.28,-3333.33
20220131,115-50010,400208.78,316666.67
20220131,115-50020,236186.3,253333.33
20220131,115-50030,106727.92,190000
20220131,115-50040,176605.55,158333.33
20220131,115-50050,137971.04,126666.67
20220131,115-50060,114433.01,95000
20220131,115-50070,133588.92,114000
20220131,115-50080,95065.09,76000
20220131,115-60010,-52986.54,-48000
20220131,115-60020,-42112.86,-36000
20220131,115-60030,-28410.04,-24000
20220131,115-60040,-21563.96,-18000
20220131,115-60050,-19089.21,-15000
20220131,115-70010,-13826.04,-12666.67
20220131,115-70020,-9700.11,-9500
20220131,115-70030,-11892.29,-11400
20220131,115-70040,-13920.07,-13933.33
20220131,115-70050,-19172.52,-19000
20220131,115-70060,-34597.98,-31666.67
20220131,115-70070,-4747.98,-5066.67
20220131,115-70080,-8005.21,-7600
20220131,115-70090,-5581.8,-5700
20220131,115-70100,-4520.88,-4750
20220131,115-80010,-8164.88,-10000
20220131,115-80020,-11762.34,-13333.33
20220131,115-80030,-6722.83,-6666.67
20220131,115-80040,5011.78,5000
20220131,115-80050,3592.41,3333.33
20220131,115-90010,-30549.34,-26666.67
20220131,115-90020,-8178.42,-6666.67
20220131,115-90030,-2814.21,-3333.33
20220131,116-50010,327045.79,316666.67
20220131,116-50020,270576.44,253333.33
20220131,116-50030,220850.32,190000
20220131,116-50040,181708.31,158333.33
20220131,116-50050,116431.44,126666.67
